University ID,University Name,Russell Group,Primary Courses,Academic Entry Requirements,English Proficiency & Waivers,Tuition Fees (UG / PG),Primary Intakes,Deposit & CAS Fee,Scholarships & Financial Aid,Course Durations,Placement Integration,Deadlines & Cutoffs,Official Website
UK032,Keele University,No,"Sciences, Business, CS, Medicine, Psychology","UG Standard XII: 65%+; PG: 50%+ [62]","IELTS: 6.0 (5.5) / Waiver: standard state board English accepted ","UG: £16,000, PG: £17,000 [62]","September [62]","£4,000 standard deposit [62]","Keele Scholarship: £5,000 [62], GREAT Partner: £10,000 [35]","UG: 3 yrs, PG: 1 yr [62]","Science and tech incubator park placements on campus [62]","Rolling admissions PG [62]","https://www.keele.ac.uk"
UK033,King's College London,Yes,"Law, Medicine, Humanities, PG Management, Social Sciences","UG Standard XII: 85%+; PG: 60%+ ","IELTS: 6.5-7.5 (6.0) / TOEFL: 100 / PTE: 69 ","UG standard: £27,100 [72], PG: £25,000-£35,000 [15]","September [35]","Standard metropolitan baseline deposit [16]","King's international student awards [15]","UG: 3 yrs, PG: 1 yr ","London health, corporate and legal sector direct placements [15]","UCAS Jan 14 (UG), PG rolling [8]","https://www.kcl.ac.uk"
UK034,Kingston University London,No,"Business, CS, Pharmacy, Creative Arts with Professional Placement","UG Standard; PG: 50%+ [16]","IELTS: 6.5 (5.5) / Waiver: MOI accepted [15, 66]","UG/PG Range: £17,500-£18,500 [66] / Placement fee: £1,635 ","September & January [10]","£5,000 standard deposit [66]","Merit-based scholarships: Up to £2,000 [66]","UG: 3-4 yrs (4 with placement), PG: 1-2 yrs ","PG placement option (IHS + separate fee of £1,635) ","Dec 12 (Jan intake), Aug 7 (Sept intake) [64]","https://www.kingston.ac.uk"
UK035,Lancaster University,Yes,"Business, Management, Engineering, Social Sciences, Law","UG standard; PG: 2:1 equivalent ","IELTS: 6.5 (6.0) / TOEFL: 93 / PTE: 62 ","UG/PG Range: £18,000-£26,000 [15]","September [8]","Standard baseline deposit [16]","High-tier academic excellence scholarships [15]","UG: 3 yrs, PG: 1 yr ","High-tier business consulting placement years [15]","UCAS Jan 14 (UG), PG rolling [8]","https://www.lancaster.ac.uk"
UK036,Leeds Arts University,No,"Fine Art, Design, Fashion, Visual Communication","Portfolio-based creative assessment","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54","UG/PG Range: £15,000-£18,000","September","Standard regional baseline deposit","Creative talent bursaries and grants","UG: 3 yrs, PG: 1 yr","Studio-based industry and exhibition placements","UCAS Jan 14 (UG), PG rolling","https://www.leeds-art.ac.uk"
UK037,Leeds Beckett University,No,"Business, CS, Sport, Health, Quantity Surveying","UG XII Std: Standard (60%); PG: 50%+ [45]","IELTS: 6.0 (5.5) / Waiver: LC ESOL 38 each [21, 45]","UG Base: £14,000 [36], PG: £14,850-£16,350 [45]","Jan, May, Sept [45]","Standard regional baseline deposit [15]","Yorkshire regional merit awards [15]","UG: 3 yrs, PG: 1 yr [13]","Yorkshire regional industry placement networks [13]","Rolling admissions PG [45]","https://www.leedsbeckett.ac.uk"
UK038,Leeds Trinity University,No,"Nursing, Computer Science with placement, MBA with placement, Project Management","UG standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54 ","UG: £12,000 (Nursing £14,500), PG: £15,000, PG placement: £18,000 [73]","September ","Standard regional baseline deposit [15]","Nursing Scholarship: £2,000 [73]","UG: 3 yrs, PG: 1-2 yrs [73]","Integrated PG professional placement year (Sandwich model) [73]","UCAS Jan 14 (UG), PG rolling [8]","https://www.leedstrinity.ac.uk"
UK039,Liverpool Hope University,No,"Business, Education, Humanities, Social Sciences, Psychology","UG XII Std: 60%; PG: 50%+ [16]","IELTS: 6.0 (5.5) / PTE: 59 [16]","UG/PG Range: £13,000-£15,000 [16]","September & January","Standard regional baseline deposit","Regional and merit-based bursaries","UG: 3 yrs, PG: 1 yr","Local educational and corporate business networks","Rolling admissions PG","https://www.hope.ac.uk"
UK040,Liverpool John Moores University,No,"Engineering, Business, Maritime, Logistics, Computing","UG XII Std: standard; PG: 50%+ [62]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 ","UG: £16,000 [62]","September [62]","£6,000 standard deposit [62]","GREAT Partner: £10,000 [35], regional merit awards [62]","UG: 3 yrs, PG: 1 yr [62]","Liverpool maritime and commerce industry placements [62]","Rolling admissions PG [62]","https://www.ljmu.ac.uk"
UK043,Loughborough University,No,"Sport Science, Engineering, Business, Art & Design","UG A-levels / Standard XII equivalent [49]","IELTS: 6.5 (6.0) / TOEFL: 92 / PTE: 62 ","Fd Tuition: £22,150 [49], UG/PG: £22,000-£30,000","September [8]","£22,150 for Foundation year [49]","GREAT Partner: £10,000 [35]","Fd: 1 yr, UG: 3 yrs, PG: 1 yr [49]","High-tier national and international elite sports coaching and engineering placements [49]","UCAS Jan 14 (UG), PG rolling [8]","https://www.lboro.ac.uk"
UK044,Manchester Metropolitan University,No,"Business, CS, Apparel, Art & Design","UG XII: 60%+; PG: 50%+ [16]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 [16]","PG Range: £20,000-£22,500 [23]","September & January [23]","£3,000 standard deposit [45]","MMU merit-based scholarships up to £3,000 [16]","UG: 3 yrs, PG: 1-2 yrs [16]","Northwest regional apparel and business internships [16]","Rolling admissions PG [23]","https://www.mmu.ac.uk"
UK045,Middlesex University,No,"Business, CS, Creative Media, Graphic Design","UG Standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / PTE: 59 / Waiver: MOI accepted [16]","UG: £16,000-£17,000, PG: £17,000-£20,000 [61]","September & January [45]","£3,000 standard deposit [45]","International Merit: £2,000 [45]","UG: 3 yrs, PG: 1-2 yrs [45]","PG industrial placement modules and advanced practice [45]","Rolling admissions PG [45]","https://www.mdx.ac.uk"
UK046,Newcastle University,Yes,"Computer Science, Marine Technology, Business, Law","UG standard; PG: 2:1 equivalent ","IELTS: 6.5 overall / TOEFL: 90 / PTE: 62 ","Pre-Master's: £29,200 [24], UG/PG: £24,000-£32,000 [15]","September [8]","Standard Russell Group baseline deposit [16]","GREAT Partner: £10,000 [35], Newcastle merit awards [15]","UG: 3 yrs, PG: 1 yr [24]","Marine technology and software engineering placements [24]","UCAS Jan 14 (UG), PG rolling [8]","https://www.ncl.ac.uk"
UK047,Northumbria University,No,"Extended Master in Business & Computing, CS, Finance","UG XII Std: standard; PG: 50%+ [16]","IELTS: 6.5 (6.0) / Waiver: QA / Duolingo [16]","PG Standard: £20,950 [36], London PG: £20,000-£22,000 [16]","January & September [16]","£5,500 standard deposit [16]","QA regional scholarships up to £2,500 [16]","UG: 3 yrs, PG: 1.5-2 yrs [16]","Extended PG placement paths (21-month duration) [16]","Rolling admissions PG [16]","https://www.northumbria.ac.uk"
UK048,Nottingham Trent University,No,"Fd Business, Art & Design, Business with placement","UG standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 ","Fd Tuition: £15,740 [49], UG/PG: £16,500-£18,500 [16]","September & January [14]","£5,000 standard deposit [49]","GREAT Partner: £10,000 [35]","UG: 3-4 yrs (4 with placement), PG: 1 yr [16]","High-tier business placement tracks (95% graduate employment) [16]","Rolling admissions PG [14]","https://www.ntu.ac.uk"
UK049,Norwich University of the Arts,No,"Creative Arts, Fine Art, Gaming, Graphic Design, Film","Portfolio-based creative assessment","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54","UG/PG Range: £15,000-£18,000","September","Standard regional baseline deposit","Creative talent bursaries and grants","UG: 3 yrs, PG: 1 yr","East Anglia design studio and media links","UCAS Jan 14 (UG), PG rolling","https://www.nua.ac.uk"
UK050,Oxford Brookes University,No,"Hospitality, Business, Publishing, Architecture","UG Standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 ","UG/PG Range: £15,000-£20,000 [15]","September & January ","Standard regional baseline deposit [16]","GREAT Partner: £10,000 [35]","UG: 3 yrs, PG: 1 yr ","Elite global hospitality industry placements [15]","UCAS Jan 14 (UG), PG rolling [8]","https://www.brookes.ac.uk"
UK051,Queen Margaret University,No,"Health Sciences, Gastronomy, Drama, Business, Marketing","UG XII Std: standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / PTE: 59 [16]","UG/PG Range: £14,000-£16,000 [16]","September & January [16]","£3,000 standard deposit [16]","Scotland Saltire Scholarships, regional merit awards","UG: 4 yrs (Scotland), PG: 1 yr [16]","Scottish health and local clinical placements [16]","Rolling admissions PG [16]","https://www.qmu.ac.uk"
UK052,Queen Mary University of London,Yes,"Social Sciences, Graduate Diploma in Economics & Finance","UG standard; PG: 2:1 equivalent ","IELTS: 6.5 (6.0) / TOEFL: 92 / PTE: 62 ","Graduate Diploma: £24,950 [24], UG/PG: £22,000-£32,000 [15]","September & January [54]","Standard metropolitan baseline deposit [16]","Standard postgraduate merit awards [24]","UG: 3 yrs, PG: 1 yr [24]","London financial district and commercial law placements [54]","Sept 1 (PG overseas), UCAS Jan 14 (UG) [54]","https://www.qmul.ac.uk"
UK053,Queen's University Belfast,Yes,"Law, CS, Social Sciences, MBA, Finance","UG Standard; PG: 50%+ [16]","IELTS: 6.0-6.5 (5.5) / TOEFL: 88 / PTE: 59 [16]","UG: £20,800, PG: £22,850-£25,800 / MBA: £28,000 [16]","September [8]","£6,000 standard deposit [16]","GREAT Partner: £10,000 [35]","UG: 3 yrs, PG: 1 yr [16]","Belfast regional technology sector placements [16]","UCAS Jan 14 (UG), PG rolling [8]","https://www.qub.ac.uk"
UK054,Ravensbourne University London,No,"Fashion, Design, MBA, Animation, Film","Portfolio-based creative assessment","IELTS: 6.0 (5.5) / PTE: 59 [16]","UG: £16,000 [62], PG: £18,000-£19,500 [16]","May & September [62]","£8,000 / 60% of fees [16, 62]","Ravensbourne Scholarship: £4,000 [62]","UG: 3 yrs, PG: 1 yr [16]","London design and media firm placements [62]","Rolling admissions PG [62]","https://www.ravensbourne.ac.uk"
UK055,Regent's University London,No,"Global Business, Luxury Brand Management, Fashion","Holistic review (GPA 2.5+), portfolio if applicable","IELTS: 6.0-6.5 / PTE: 59 / Waiver: MOI accepted [16]","UG/PG Range: £18,000-£24,000","September & January [16]","£4,000 standard deposit [16]","High-tier private bursaries up to £4,000","UG: 3 yrs, PG: 1 yr [16]","Premium luxury brand corporate networking in London","Rolling admissions","https://www.regents.ac.uk"
UK056,Robert Gordon University,No,"Pharmacy, Architecture, Business, Information Technology","UG XII: standard; PG: 50%+ [62]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 ","UG/PG Range: £17,000 [62]","September [62]","£5,000 standard deposit [62]","Regional scholarship: £2,000 [62]","UG: 4 yrs (Scotland), PG: 1 yr [18]","Scottish pharmacy, IT and industrial placements [18]","Rolling admissions PG [62]","https://www.rgu.ac.uk"
UK057,University of Roehampton,No,"Creative Arts, Humanities, MBA, Biological Sciences","UG standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / Waiver: LC ESOL 38 each [16, 21]","UG: £16,000 [62], PG: £17,325-£18,900 [16]","May & September [62]","£8,000 / 50% of fees [16, 62]","Roehampton Scholarship: £3,500 [62]","UG: 3 yrs, PG: 1 yr [16]","Blended academic work placements [16]","Rolling admissions PG [62]","https://www.roehampton.ac.uk"
UK058,Royal Agricultural University,No,"Agribusiness, Real Estate, Food Science, Agriculture","UG XII: standard; PG: 50%+","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54","UG/PG Range: £14,000-£16,500","September","Standard regional baseline deposit","Agricultural sector bursaries and grants","UG: 3 yrs, PG: 1 yr","Year-in-industry farming and estate placements","UCAS Jan 14 (UG), PG rolling","https://www.rau.ac.uk"
UK059,Royal Holloway, University of London,No,"Arts, Science, MBA, International Relations","UG standard; PG: 2:1 equivalent ","IELTS: 6.5 (6.0) / Waiver: Duolingo 120 or MOI [16, 21]","PG Range: £19,000-£29,000 [45]","September [8]","£3,000-£8,000 standard deposit [45]","GREAT Partner: £10,000 [35]","UG: 3 yrs, PG: 1 yr [16]","Integrated London creative and media commerce placements [16]","UCAS Jan 14 (UG), PG rolling [8]","https://www.royalholloway.ac.uk"
UK060,SOAS University of London,No,"Asian Studies, Middle Eastern Studies, Development, Politics","UG standard; PG: 2:1 equivalent","IELTS: 7.0 (6.5) / TOEFL: 100 / PTE: 69","UG/PG Range: £19,000-£26,000","September","Standard metropolitan baseline deposit","SOAS global merit scholarships","UG: 3 yrs, PG: 1 yr","Global development and policy NGO placements","UCAS Jan 14 (UG), PG rolling","https://www.soas.ac.uk"
UK061,Sheffield Hallam University,No,"UG/PG Management, IT with placement, Engineering","UG XII Std: standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / PTE: 52 / Waiver: Duolingo [16, 67]","UG/PG Range: £17,000-£19,000 [16]","September & January [16]","£9,470 standard deposit [16]","GREAT Partner: £10,000 [35], merit bursaries","UG: 3 yrs, PG: 1-2 yrs [16]","Integrated Yorkshire corporate placements and Sandwich Master's [16]","Rolling admissions PG [16]","https://www.shu.ac.uk"
UK062,Solent University,No,"Business, Maritime, CS, Logistics Management","UG standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / Waiver: Duolingo accepted [16, 21]","UG: £17,000 [62], PG: £16,125 [16]","May & September [62]","£7,000 / 50% of fees [16, 62]","Solent Scholarship: £2,000 [62]","UG: 3 yrs, PG: 1 yr [16]","Specialized Southampton maritime commerce placements [62]","Rolling admissions PG [62]","https://www.solent.ac.uk"
UK063,St Mary's University, Twickenham,No,"Sports Coaching, Education, Drama, Business","UG standard; PG: 50%+","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54","UG/PG Range: £14,000-£16,000","September","Standard metropolitan baseline deposit","Athletic and academic excellence awards up to £2,000","UG: 3 yrs, PG: 1 yr","High-tier local sports coaching networks and placements","UCAS Jan 14 (UG), PG rolling","https://www.stmarys.ac.uk"
UK064,University of Staffordshire,No,"Gaming, CS, Law, Business, Applied Engineering","UG XII Std: standard; PG: 50%+ [13]","IELTS: 6.0 (5.5) / standard entry [18, 21]","UG/PG Range: £12,000-£14,500 [13]","September & January ","Standard regional baseline deposit [15]","Academic bursary awards available [58]","UG: 3 yrs, PG: 1 yr [13]","Advanced gaming and technology studio work placements [13]","Rolling admissions PG ","https://www.staffs.ac.uk"
UK065,Swansea University,No,"Engineering, Business, Law, Medical Sciences","UG standard; PG: 50%+ [15]","IELTS: 6.0 (5.5) / PTE: 58 ","UG/PG Range: £15,000-£18,000 [15]","September & January ","Standard baseline deposit [15]","GREAT Partner: £10,000 [35]","UG: 3 yrs, PG: 1 yr [15]","Welsh regional industry placements and research links [15]","Rolling admissions PG ","https://www.swansea.ac.uk"
UK066,Teesside University,No,"CS, Gaming, Engineering, Animation, International Business","UG XII Std: standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / Waiver: CBSE English 60% [16, 27]","UG: £12,000-£14,500 [13], PG: £15,000-£17,000 [16]","September & January [16]","£4,000-£5,000 standard deposit [16, 62]","Teesside Merit Award: £2,000 [62], GREAT Partner: £10,000 [35]","UG: 3-4 yrs (4 with placement), PG: 1-2 yrs [16]","Specialized Tees Valley digital media and engineering placements [62]","CAS request cutoffs around August [8]","https://www.tees.ac.uk"
UK067,The University of Law,No,"Law conversion, LLB, LLM, Strategic Business Management","UG standard; PG: 2:2 equivalent [37]","IELTS: 6.0 (5.5) / PTE: 59 [16, 37]","London PG: £18,500, Regional PG: £17,000 [37]","Jan, Sep, April [37]","£8,000 standard deposit [37]","International Bursary: £2,500-£3,000 [37]","UG: 3 yrs, PG: 1-2 yrs [16]","Professional legal clinic and corporate placements [37]","Rolling admissions PG [16]","https://www.law.ac.uk"
UK068,Ulster University,No,"MSc International Business with Advanced Practice, Finance","UG XII Std: standard; PG: 50%+ [16]","IELTS: 6.0 (5.5) / PTE: 55 [16]","London PG: From £13,800 [37], Belfast: £17,010 [36]","May & September [62]","£6,500 standard deposit [37]","Ulster PG Scholarship: 15% discount / £3,0